0,10.0 20000000.0 1.0 3.947945205479452 3.947945205479452 
2,0.0 0.0 1.0 13.545205479452054 13.545205479452054 
0,20.0 4200000.0 1.0 0.5013698630136987 0.5013698630136987 
0,13.0 16000000.0 2.0 5.528767123287671 11.364383561643836 
0,0.0 250000.0 1.0 0.0 0.0 
0,5.0 1600000.0 1.0 1.8821917808219177 1.8821917808219177 
1,0.0 867000.0 6.0 0.0 2.9123287671232876 
1,0.0 3000000.0 1.0 2.158904109589041 2.158904109589041 
0,11.0 500000.0 1.0 1.4986301369863013 1.4986301369863013 
2,1.0 28120000.0 3.0 2.4986301369863013 6.041095890410959 
0,3.0 11500000.0 3.0 0.0 5.13972602739726 
0,0.0 0.0 1.0 0.5753424657534246 0.5753424657534246 
0,7.0 27680000.0 2.0 7.742465753424658 9.326027397260274 
0,9.0 30000000.0 1.0 1.2493150684931507 1.2493150684931507 
1,8.0 400000.0 1.0 3.164383561643836 3.164383561643836 
1,1.0 0.0 1.0 0.0 0.0 
2,0.0 8500000.0 2.0 3.1397260273972605 4.156164383561644 
1,0.0 3791750.0 1.0 0.0 0.0 
0,1.0 6000000.0 2.0 1.0575342465753426 3.0356164383561643 
0,1.0 20150000.0 2.0 4.4520547945205475 6.115068493150685 
2,12.0 28932322.0 4.0 5.86027397260274 7.698630136986301 
2,2.0 20000.0 1.0 0.6958904109589041 0.6958904109589041 
2,0.0 16781724.0 4.0 0.0 2.6684931506849314 
0,1.0 24300000.0 7.0 0.0 4.394520547945206 
0,4.0 65482.0 1.0 0.5863013698630137 0.5863013698630137 
1,15.0 0.0 1.0 0.0 0.0 
1,0.0 200000.0 1.0 1.3342465753424657 1.3342465753424657 
2,0.0 4840000.0 1.0 10.252054794520548 10.252054794520548 
1,9.0 235800.0 1.0 0.0 -1.1643835616438356 
2,0.0 2800000.0 3.0 0.4136986301369863 2.164383561643836 
0,10.0 22000000.0 1.0 5.249315068493151 5.249315068493151 
1,2.0 10000.0 1.0 0.35342465753424657 0.35342465753424657 
0,0.0 2225000.0 4.0 0.5150684931506849 1.8630136986301369 
0,0.0 4125014.0 1.0 10.528767123287672 10.528767123287672 
0,10.0 22500000.0 4.0 1.917808219178082 3.7534246575342465 
0,1.0 600000.0 1.0 6.920547945205479 6.920547945205479 
0,0.0 485000.0 1.0 0.4986301369863014 0.4986301369863014 
0,0.0 0.0 1.0 3.978082191780822 3.978082191780822 
0,10.0 3978000.0 4.0 5.835616438356165 9.556164383561644 
0,9.0 15000000.0 1.0 3.2904109589041095 3.2904109589041095 
0,0.0 13017000.0 4.0 1.3342465753424657 4.16986301369863 
0,9.0 4000000.0 2.0 2.334246575342466 2.8383561643835615 
0,0.0 0.0 1.0 0.5945205479452055 0.5945205479452055 
0,3.0 500000.0 1.0 10.616438356164384 10.616438356164384 
2,17.0 12000000.0 2.0 1.4958904109589042 2.665753424657534 
0,1.0 1000000.0 1.0 5.7534246575342465 5.7534246575342465 
1,14.0 5000000.0 1.0 2.5452054794520547 2.5452054794520547 
0,0.0 64795.0 1.0 0.2465753424657534 0.2465753424657534 
2,0.0 22400000.0 3.0 0.9178082191780822 2.4876712328767123 
2,6.0 26000000.0 1.0 5.594520547945206 5.594520547945206 
0,12.0 10000000.0 1.0 3.7534246575342465 3.7534246575342465 
0,2.0 100000.0 1.0 0.0 0.0 
0,0.0 10000000.0 1.0 2.0 2.0 
0,0.0 0.0 1.0 10.0 10.0 
0,3.0 449751.0 3.0 0.0 1.095890410958904 
2,4.0 2000000.0 1.0 1.4712328767123288 1.4712328767123288 
1,0.0 0.0 1.0 0.0 -48.04383561643836 
2,0.0 0.0 1.0 0.0 -1.0 
1,0.0 4000000.0 1.0 0.7424657534246575 0.7424657534246575 
0,1.0 20000.0 1.0 0.24383561643835616 0.24383561643835616 
0,6.0 10000000.0 2.0 1.621917808219178 5.331506849315068 
1,2.0 9030000.0 2.0 0.0 2.4273972602739726 
